hour_index,xuehua550,模板1,模板2,模板3,随机曲线1
1,501.304707,78.157614,78.157614,42.157614,194.7
2,500.932632,77.140559,77.140559,41.140559,192.81
3,500.391457,76.449462,76.449462,40.449462,188.88
4,500.481906,76.497415,76.497415,40.497415,189.71
5,500.801413,77.655047,77.655047,41.655047,192.03
6,500.63717,80.049052,80.049052,44.049052,190.93
7,515.045285,83.280634,83.280634,47.280634,218.435
8,503.569116,86.319884,86.319884,50.319884,201.99
9,504.189002,87.954705,87.954705,51.954705,203.42
10,539.896875,87.64352,87.64352,51.64352,235.71
11,528.105202,85.939558,85.939558,49.939558,228.78
12,509.042858,83.994138,83.994138,47.994138,211.6
13,504.184448,82.723621,82.723621,46.723621,203.41
14,505.964443,82.479638,82.479638,46.479638,206.89
15,503.9169,83.268586,83.268586,47.268586,202.81
16,513.432585,84.996453,84.996453,48.996453,216.8
17,517.006065,87.440682,87.440682,51.440682,220.28
18,511.893973,90.097559,90.097559,54.097559,215.12
19,503.164609,92.197231,92.197231,56.197231,200.97
20,502.228041,93.00003,93.00003,57.00003,198.24
21,501.488931,92.197118,92.197118,56.197118,195.51
22,503.965116,90.096599,90.096599,54.096599,202.92
23,503.119027,87.434289,87.434289,51.434289,200.85
24,503.9798,84.962516,84.962516,48.962516,202.953333
25,501.922398,78.226491,78.226491,42.226491,197.193333
26,502.768083,77.209436,77.209436,41.209436,199.886667
27,500.903534,76.518339,76.518339,40.518339,192.643333
28,500.975563,76.566293,76.566293,40.566293,193.05
29,500.975563,77.723925,77.723925,41.723925,193.05
30,503.613204,80.117929,80.117929,44.117929,202.096667
31,516.866576,83.349512,83.349512,47.349512,220.153333
32,505.356797,86.388762,86.388762,50.388762,205.786667
33,500.904687,88.023583,88.023583,52.023583,192.65
34,517.39901,87.712397,87.712397,51.712397,220.633333
35,516.844618,86.008436,86.008436,50.008436,220.133333
36,511.086887,84.063015,84.063015,48.063015,214.183333
37,504.773298,82.792498,82.792498,46.792498,204.65
38,502.853047,82.548515,82.548515,46.548515,200.126667
39,502.776272,83.337464,83.337464,47.337464,199.91
40,525.302038,85.06533,85.06533,49.06533,226.87
41,516.950917,87.509559,87.509559,51.509559,220.23
42,501.756343,90.166436,90.166436,54.166436,196.58
43,500.722306,92.266108,92.266108,56.266108,191.52
44,502.868561,93.068907,93.068907,57.068907,200.17
45,501.51754,92.265996,92.265996,56.265996,195.63
46,501.063204,90.165477,90.165477,54.165477,193.52
47,501.213079,87.503167,87.503167,51.503167,194.27
48,501.84451,85.031394,85.031394,49.031394,196.91
49,501.11375,78.295348,78.295348,42.295348,193.78
50,500.559943,77.278293,77.278293,41.278293,190.35
51,500.478429,76.587196,76.587196,40.587196,189.68
52,500.611176,76.63515,76.63515,40.63515,190.74
53,500.431395,77.792782,77.792782,41.792782,189.26
54,500.798213,80.186786,80.186786,44.186786,192.01
55,517.395277,83.418369,83.418369,47.418369,220.63
56,513.224346,86.457619,86.457619,50.457619,216.58
57,501.907581,88.09244,88.09244,52.09244,197.14
58,506.449057,87.781254,87.781254,51.781254,207.72
59,528.993524,86.077293,86.077293,50.077293,229.36
60,503.264807,84.131872,84.131872,48.131872,201.23
61,501.371148,82.861355,82.861355,46.861355,195
62,504.416002,82.617372,82.617372,46.617372,203.91
63,514.36548,83.406321,83.406321,47.406321,217.76
64,523.055101,85.134187,85.134187,49.134187,225.24
65,514.584866,87.578416,87.578416,51.578416,217.98
66,517.575059,90.235293,90.235293,54.235293,220.79
67,504.49177,92.334965,92.334965,56.334965,204.07
68,502.52394,93.137764,93.137764,57.137764,199.17
69,502.292826,92.334853,92.334853,56.334853,198.45
70,502.607491,90.234334,90.234334,54.234334,199.42
71,502.587282,87.572024,87.572024,51.572024,199.36
72,501.366654,85.100251,85.100251,49.100251,194.98
73,501.79075,78.364164,78.364164,42.364164,196.71
74,502.201645,77.34711,77.34711,41.34711,198.153333
75,502.084336,76.656012,76.656012,40.656012,197.76
76,500.747588,76.703966,76.703966,40.703966,191.686667
77,500.53476,77.861598,77.861598,41.861598,190.15
78,502.671,80.255603,80.255603,44.255603,199.606667
79,511.579534,83.487185,83.487185,47.487185,214.76
80,502.940855,86.526435,86.526435,50.526435,200.37
81,501.51754,88.161256,88.161256,52.161256,195.63
82,509.878502,87.85007,87.85007,51.85007,212.696667
83,519.670869,86.146109,86.146109,50.146109,222.583333
